[7l----system---- ------memory-usage-----
16-09 15:44:10|9118M 1950M  247M  694M
16-09 15:44:20|9118M 1950M  247M  694M
16-09 15:44:30|9119M 1950M  247M  694M
16-09 15:44:40|9118M 1950M  247M  694M
16-09 15:44:50|9119M 1950M  247M  694M
16-09 15:45:00|9119M 1950M  248M  694M
16-09 15:45:10|9119M 1950M  248M  694M
16-09 15:45:20|9118M 1950M  248M  694M
16-09 15:45:30|9119M 1950M  248M  693M
16-09 15:45:40|9119M 1950M  248M  694M
16-09 15:45:50|9119M 1950M  248M  693M
16-09 15:46:00|9119M 1950M  248M  693M
16-09 15:46:10|9119M 1950M  248M  693M
16-09 15:46:20|9118M 1950M  248M  694M
16-09 15:46:30|9119M 1950M  248M  693M
16-09 15:46:40|9118M 1950M  248M  693M
16-09 15:46:50|9118M 1950M  248M  694M
16-09 15:47:00|9119M 1950M  248M  693M
16-09 15:47:10|9119M 1950M  248M  693M
16-09 15:47:20|9118M 1950M  248M  693M
16-09 15:47:30|9132M 1950M  249M  679M
16-09 15:47:40|9117M 1950M  249M  694M
16-09 15:47:50|9117M 1951M  249M  693M
16-09 15:48:00|9117M 1951M  250M  693M
16-09 15:48:10|9117M 1951M  250M  693M
16-09 15:48:20|9117M 1951M  250M  693M
16-09 15:48:30|9116M 1951M  250M  694M
16-09 15:48:40|9116M 1951M  250M  693M
16-09 15:48:50|9117M 1951M  250M  693M
16-09 15:49:00|9117M 1951M  250M  692M
16-09 15:49:10|9117M 1951M  250M  693M
16-09 15:49:20|9117M 1951M  250M  692M
16-09 15:49:30|9117M 1951M  250M  692M
16-09 15:49:40|9117M 1951M  250M  692M
16-09 15:49:50|9117M 1951M  250M  692M
16-09 15:50:00|9117M 1951M  250M  692M
16-09 15:50:10|9117M 1951M  250M  692M
16-09 15:50:20|9117M 1951M  250M  692M
16-09 15:50:30|9117M 1951M  250M  692M
16-09 15:50:40|9117M 1951M  250M  692M
16-09 15:50:50|9117M 1951M  251M  691M
16-09 15:51:00|9117M 1951M  251M  691M
16-09 15:51:10|9117M 1951M  251M  692M
16-09 15:51:20|9117M 1951M  251M  692M
16-09 15:51:30|9117M 1951M  251M  691M
16-09 15:51:40|9117M 1951M  251M  691M
16-09 15:51:50|9117M 1951M  251M  691M
16-09 15:52:00|9117M 1951M  251M  691M
16-09 15:52:10|9117M 1951M  251M  691M
16-09 15:52:20|9117M 1951M  251M  691M
16-09 15:52:30|9117M 1951M  251M  691M
16-09 15:52:40|9117M 1951M  251M  690M
16-09 15:52:50|9117M 1951M  251M  691M
16-09 15:53:00|9117M 1951M  252M  690M
16-09 15:53:10|9117M 1951M  252M  690M
16-09 15:53:20|9117M 1951M  252M  690M
16-09 15:53:30|9117M 1951M  252M  690M
16-09 15:53:40|9117M 1951M  252M  690M
16-09 15:53:50|9118M 1951M  252M  689M
16-09 15:54:00|9117M 1951M  252M  690M
16-09 15:54:10|9117M 1951M  252M  690M
16-09 15:54:20|9117M 1951M  252M  690M
