[7l----system---- ------memory-usage-----
     time     | used  buff  cach  free
16-09 18:03:58|2032M 3156M 1172M 9647M
16-09 18:04:08|2032M 3156M 1172M 9647M
16-09 18:04:18|2032M 3156M 1172M 9647M
16-09 18:04:28|2032M 3156M 1172M 9647M
16-09 18:04:38|2032M 3156M 1172M 9647M
16-09 18:04:48|2032M 3156M 1172M 9647M
16-09 18:04:58|2032M 3156M 1172M 9647M
16-09 18:05:08|2032M 3156M 1172M 9647M
16-09 18:05:18|2032M 3156M 1172M 9647M
16-09 18:05:28|2032M 3156M 1172M 9647M
16-09 18:05:38|2032M 3156M 1172M 9646M
16-09 18:05:48|2032M 3156M 1172M 9646M
16-09 18:05:58|2033M 3156M 1172M 9646M
16-09 18:06:08|2032M 3156M 1172M 9646M
16-09 18:06:18|2032M 3156M 1172M 9646M
16-09 18:06:28|2032M 3156M 1172M 9646M
16-09 18:06:38|2032M 3156M 1172M 9646M
16-09 18:06:48|2032M 3156M 1172M 9646M
16-09 18:06:58|2032M 3156M 1172M 9646M
16-09 18:07:08|2032M 3156M 1172M 9646M
16-09 18:07:18|2032M 3156M 1172M 9646M
16-09 18:07:28|2032M 3156M 1172M 9646M
16-09 18:07:38|2032M 3156M 1172M 9646M
16-09 18:07:48|2032M 3156M 1172M 9646M
16-09 18:07:58|2032M 3156M 1172M 9646M
16-09 18:08:08|2032M 3156M 1172M 9646M
16-09 18:08:18|2032M 3156M 1172M 9646M
16-09 18:08:28|2033M 3156M 1172M 9646M
16-09 18:08:38|2033M 3156M 1172M 9646M
16-09 18:08:48|2033M 3156M 1172M 9646M
16-09 18:08:58|2033M 3156M 1172M 9646M
16-09 18:09:08|2215M 3156M 1172M 9464M
16-09 18:09:18|1993M 3157M 1172M 9685M
16-09 18:09:28|1993M 3157M 1172M 9686M
16-09 18:09:38|1993M 3157M 1172M 9685M
16-09 18:09:48|1993M 3157M 1172M 9685M
16-09 18:09:58|1993M 3157M 1172M 9685M
16-09 18:10:08|2007M 3157M 1172M 9671M
16-09 18:10:18|2046M 3157M 1172M 9632M
16-09 18:10:28|2047M 3157M 1172M 9632M
16-09 18:10:38|2047M 3157M 1172M 9632M
16-09 18:10:48|2047M 3157M 1172M 9632M
16-09 18:10:58|2047M 3157M 1172M 9632M
16-09 18:11:08|2047M 3157M 1172M 9632M
16-09 18:11:18|2047M 3157M 1172M 9632M
16-09 18:11:28|2047M 3157M 1172M 9632M
16-09 18:11:38|2047M 3157M 1172M 9631M
16-09 18:11:48|2047M 3157M 1172M 9631M
16-09 18:11:58|2047M 3157M 1172M 9631M
16-09 18:12:08|2047M 3157M 1172M 9631M
16-09 18:12:18|2047M 3157M 1172M 9631M
16-09 18:12:28|2047M 3157M 1172M 9631M
16-09 18:12:38|2047M 3157M 1172M 9631M
16-09 18:12:48|2047M 3157M 1172M 9631M
16-09 18:12:58|2047M 3157M 1172M 9631M
16-09 18:13:08|2047M 3157M 1172M 9631M
16-09 18:13:18|2047M 3157M 1172M 9631M
16-09 18:13:28|2047M 3157M 1172M 9631M
